Wikidata_ID,Bangla_Wikipedia_Title,Wikipedia_URL,Category_Discovered_In,Depth
Q902,বাংলাদেশ,https://bn.wikipedia.org/wiki/বাংলাদেশ,বিষয়শ্রেণী:বাংলাদেশ,0
Q4588038,১৯৯২-এ বাংলাদেশ,https://bn.wikipedia.org/wiki/১৯৯২-এ_বাংলাদেশ,বিষয়শ্রেণী:বাংলাদেশ,0
Q96411855,ইউনিসেফ বাংলাদেশ,https://bn.wikipedia.org/wiki/ইউনিসেফ_বাংলাদেশ,বিষয়শ্রেণী:বাংলাদেশ,0
Q61363812,ইস্পাহানি মির্জাপুর বাংলাবিদ,https://bn.wikipedia.org/wiki/ইস্পাহানি_মির্জাপুর_বাংলাবিদ,বিষয়শ্রেণী:বাংলাদেশ,0
Q7278682,রাবেয়া খাতুন,https://bn.wikipedia.org/wiki/রাবেয়া_খাতুন,বিষয়শ্রেণী:বাংলাদেশ,0
Q118116251,জয় পাকিস্তান,https://bn.wikipedia.org/wiki/জয়_পাকিস্তান,বিষয়শ্রেণী:বাংলাদেশ,0
Q31727817,ডিজিটাল বাংলাদেশ,https://bn.wikipedia.org/wiki/ডিজিটাল_বাংলাদেশ,বিষয়শ্রেণী:বাংলাদেশ,0
Q134522730,নারীবিষয়ক সংস্কার কমিশন,https://bn.wikipedia.org/wiki/নারীবিষয়ক_সংস্কার_কমিশন,বিষয়শ্রেণী:বাংলাদেশ,0
Q10952771,প্রবেশদ্বার:বাংলাদেশ,https://bn.wikipedia.org/wiki/প্রবেশদ্বার:বাংলাদেশ,বিষয়শ্রেণী:বাংলাদেশ,0
Q14858468,প্রবেশদ্বার:বাংলাদেশ সশস্ত্র বাহিনী,https://bn.wikipedia.org/wiki/প্রবেশদ্বার:বাংলাদেশ_সশস্ত্র_বাহিনী,বিষয়শ্রেণী:বাংলাদেশ,0
Q19891853,বাংলাদেশ-সম্পর্কিত নিবন্ধের সূচক,https://bn.wikipedia.org/wiki/বাংলাদেশ-সম্পর্কিত_নিবন্ধের_সূচক,বিষয়শ্রেণী:বাংলাদেশ,0
Q1000869,বাংলাদেশে বৌদ্ধধর্ম,https://bn.wikipedia.org/wiki/বাংলাদেশে_বৌদ্ধধর্ম,বিষয়শ্রেণী:বাংলাদেশ,0
Q130288337,বাংলাদেশে সরকারী চলচ্চিত্র অনুদান,https://bn.wikipedia.org/wiki/বাংলাদেশে_সরকারী_চলচ্চিত্র_অনুদান,বিষয়শ্রেণী:বাংলাদেশ,0
Q97682653,বাংলাদেশের মুক্তিযোদ্ধা,https://bn.wikipedia.org/wiki/বাংলাদেশের_মুক্তিযোদ্ধা,বিষয়শ্রেণী:বাংলাদেশ,0
Q131759374,বাংলাদেশের সংস্কার কমিশন,https://bn.wikipedia.org/wiki/বাংলাদেশের_সংস্কার_কমিশন,বিষয়শ্রেণী:বাংলাদেশ,0
Q39086764,ভারত-বাংলাদেশ সীমান্ত হাট,https://bn.wikipedia.org/wiki/ভারত-বাংলাদেশ_সীমান্ত_হাট,বিষয়শ্রেণী:বাংলাদেশ,0
Q7112197,বাংলাদেশের রূপরেখা,https://bn.wikipedia.org/wiki/বাংলাদেশের_রূপরেখা,বিষয়শ্রেণী:বাংলাদেশ,0
Q116265832,স্মার্ট বাংলাদেশ,https://bn.wikipedia.org/wiki/স্মার্ট_বাংলাদেশ,বিষয়শ্রেণী:বাংলাদেশ,0
